code,type,2012,2013,2014,2015,2016,same text over time?
38 05,program,,სატყეო სისტემის ჩამოყალიბება და მართვა,სანერგე მეურნეობის სისტემის ჩამოყალიბება და მართვა,სანერგე მეურნეობის სისტემის ჩამოყალიბება და მართვა,ეროვნული სანაშენე მეურნეობის სისტემის ჩამოყალიბება და მართვა,false
38 06,program,,სანერგე მეურნეობის სისტემის ჩამოყალიბება და მართვა,გარემოსდაცვით ინფორმაციაზე ხელმისაწვდომობისა და გარემოსდაცვითი განათლების ხელშეწყობის პროგრამა,გარემოსდაცვით ინფორმაციაზე ხელმისაწვდომობისა და გარემოსდაცვითი განათლების ხელშეწყობის პროგრამა,გარემოსდაცვითი ინფორმაციის ხელმისაწვდომობისა და გარემოსდაცვითი განათლების ხელშეწყობის პროგრამა,false
38 07,program,,გარემოსდაცვით ინფორმაციაზე ხელმისაწვდომობისა და გარემოსდაცვითი განათლების ხელშეწყობის პროგრამა,"გარემოს დაცვის სფეროში მონიტორინგი, პროგნოზირება და პრევენცია","გარემოს დაცვის სფეროში მონიტორინგი, პროგნოზირება და პრევენცია",ბირთვული და რადიაციული უსაფრთხოების დაცვა,false
38 08,program,,,,,"გარემოს დაცვის სფეროში მონიტორინგი, პროგნოზირება, პრევენცია და ბუნებრივი რესურსების მართვა",true
39 00,spending agency,საქართველოს სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,საქართველოს სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,საქართველოს სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,საქართველოს სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,საქართველოს სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,true
39 01,program,სპორტისა და ახალგაზრდობის საქმეთა სფეროების სახელმწიფო პოლიტიკის შემუშავება და მართვა,სპორტისა და ახალგაზრდობის საქმეთა სფეროების სახელმწიფო პოლიტიკის შემუშავება და მართვა,სპორტისა და ახალგაზრდობის საქმეთა სფეროების სახელმწიფო პოლიტიკის შემუშავება და მართვა,სპორტისა და ახალგაზრდობის საქმეთა სფეროების სახელმწიფო პოლიტიკის შემუშავება და მართვა,სპორტისა და ახალგაზრდობის საქმეთა სფეროებში სახელმწიფო პოლიტიკის შემუშავება და მართვა,false
39 02,program,სპორტის განვითარების ხელშეწყობის ღონისძიებები,სპორტის განვითარების ხელშეწყობის ღონისძიებები,სპორტის განვითარების ხელშეწყობის ღონისძიებები,სპორტის განვითარების ხელშეწყობის ღონისძიებები,სპორტის განვითარების ხელშეწყობის ღონისძიებები,true
39 03,program,სპორტის სფეროში დამსახურებულ მოღვაწეთა სოციალური დაცვის ღონისძიებები,სპორტის სფეროში დამსახურებულ მოღვაწეთა სოციალური დაცვის ღონისძიებები,სპორტის სფეროში დამსახურებულ მოღვაწეთა სოციალური დაცვის ღონისძიებები,სპორტის სფეროში დამსახურებულ მოღვაწეთა სოციალური დაცვის ღონისძიებები,სპორტის სფეროში დამსახურებულ მოღვაწეთა სოციალური დაცვის ღონისძიებები,true
39 04,program,ახალგაზრდობის სფეროში სახელმწიფო ხელშეწყობის ღონისძიებები,ახალგაზრდობის სფეროში სახელმწიფო ხელშეწყობის ღონისძიებები,ახალგაზრდობის სფეროში სახელმწიფო ხელშეწყობის ღონისძიებები,ახალგაზრდობის სფეროში სახელმწიფო ხელშეწყობის ღონისძიებები,ახალგაზრდობის სფეროში სახელმწიფო ხელშეწყობის ღონისძიებები,true
40 00,spending agency,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,true
40 01,program,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,დასაცავ პირთა და ობიექტთა უსაფრთხოების უზრუნველყოფა,დასაცავ პირთა და ობიექტთა უსაფრთხოების უზრუნველყოფა,დასაცავ პირთა და ობიექტთა უსაფრთხოების უზრუნველყოფა,დასაცავ პირთა და ობიექტთა უსაფრთხოების უზრუნველყოფა,false
40 02,program,სახელმწიფო ობიექტების მოვლა შენახვა,სახელმწიფო ობიექტების მოვლა შენახვა,სახელმწიფო ობიექტების მოვლა-შენახვა,სახელმწიფო ობიექტების მოვლა-შენახვა,სახელმწიფო ობიექტების მოვლა-შენახვა,false
41 00,spending agency,საქართველოს სახალხო დამცველის აპარატი,საქართველოს სახალხო დამცველის აპარატი,საქართველოს სახალხო დამცველის აპარატი,საქართველოს სახალხო დამცველის აპარატი,საქართველოს სახალხო დამცველის აპარატი,true
41 01,program,,,საქართველოს სახალხო დამცველის აპარატის ფუნქციონირების გაძლიერების ღონისძიებები (საქართველოს სახალხო დამცველის აპარატი,საქართველოს სახალხო დამცველის აპარატის ფუნქციონირების გაძლიერების ღონისძიებები (საქართველოს სახალხო დამცველის აპარატი,საქართველოს სახალხო დამცველის აპარატის ფუნქციონირების გაძლიერების ღონისძიებები (საქართველოს სახალხო დამცველის აპარატი,true
42 00,spending agency,სსიპ – საზოგადოებრივი მაუწყებელი,სსიპ - საზოგადოებრივი მაუწყებელი,სსიპ – საზოგადოებრივი მაუწყებელი,სსიპ – საზოგადოებრივი მაუწყებელი,სსიპ – საზოგადოებრივი მაუწყებელი,false
42 01,program,,,მაუწყებლობის ხელშეწყობა,მაუწყებლობის ხელშეწყობა,მაუწყებლობის ხელშეწყობა,true
43 00,spending agency,სსიპ – კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,სსიპ - კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,სსიპ – კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,სსიპ – კონკურენციის სააგენტო,სსიპ – კონკურენციის სააგენტო,false
43 01,program,სსიპ კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,სსიპ კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,სსიპ - კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,,,false
43 02,program,სახელმწიფო სექტორის ფინანსური მართვის მხარდაჭერის პროექტი (WB–SIDA–ნიდერლანდი– DFID),,,,,true
44 00,spending agency,სამხრეთ ოსეთის ადმინისტრაცია,სამხრეთ ოსეთის ადმინისტრაცია,სამხრეთ ოსეთის ადმინისტრაცია,სამხრეთ ოსეთის ადმინისტრაცია,ყოფილი სამხრეთ ოსეთის ავტონომიური ოლქის ტერიტორიაზე დროებითი ადმინისტრაციულ-ტერიტორიული ერთეულის ადმინისტრაცია - სამხრეთ ოსეთის ადმინისტრაცია,false
45 00,spending agency,საქართველოს საპატრიარქო,საქართველოს საპატრიარქო,საქართველოს საპატრიარქო,საქართველოს საპატრიარქო,საქართველოს საპატრიარქო,true
45 01,program,სასულიერო განათლების ხელშეწყობის გრანტი,სასულიერო განათლების ხელშეწყობის გრანტი,სასულიერო განათლების ხელშეწყობის გრანტი,სასულიერო განათლების ხელშეწყობის გრანტი,სასულიერო განათლების ხელშეწყობის გრანტი,true
45 02,program,საქართველოს საპატრიარქოს წმინდა სიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა სიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,ა(ა)იპ საქართველოს საპატრიარქოს წმიდა სვიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრი,ა(ა)იპ საქართველოს საპატრიარქოს წმიდა სვიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრი,ა(ა)იპ საქართველოს საპატრიარქოს წმიდა სვიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრი,false
45 03,program,ა ა იპ – ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,ა ა იპ - ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,ა(ა)იპ – ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,ა(ა)იპ – ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,ა(ა)იპ – ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,false
45 04,program,საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი,"საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ, უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი","საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ, უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი","საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ, უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი",false
45 05,program,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,true
45 06,program,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,true
45 07,program,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,true
45 08,program,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის ქართული უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის ქართული უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის ქართული უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის ქართული უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის ქართული უნივერსიტეტისათვის გადასაცემი გრანტი,true
45 09,program,საქართველოს საპატრიარქოს ა ა იპ – ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ა ა იპ - ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ა(ა)იპ – ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ა(ა)იპ – ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,საქართველოს საპატრიარქოს ა(ა)იპ – ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,false
45 10,program,ა ა იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,ა ა იპ - სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,ა(ა)იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,ა(ა)იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,ა(ა)იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,false
45 11,program,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,true
45 12,program,ა ა იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,ა ა იპ - ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,ა(ა)იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,ა(ა)იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,ა(ა)იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,false
45 13,program,,ა ა იპ ფოთის საგანმანათლებლო და კულტურულ გამაჯანსაღებელი ცენტრი,ა(ა)იპ ფოთის საგანმანათლებლო და კულტურულ-გამაჯანსაღებელი ცენტრი,ა(ა)იპ ფოთის საგანმანათლებლო და კულტურულ-გამაჯანსაღებელი ცენტრი,ა(ა)იპ ფოთის საგანმანათლებლო და კულტურულ-გამაჯანსაღებელი ცენტრი,false
46 00,spending agency,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,სსიპ - ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,false
47 00,spending agency,სსიპ – საქართველოს სტატისტიკის ეროვნული სამსახური – საქსტატი,სსიპ - საქართველოს სტატისტიკის ეროვნული სამსახური - საქსტატი,სსიპ – საქართველოს სტატისტიკის ეროვნული სამსახური – საქსტატი,სსიპ – საქართველოს სტატისტიკის ეროვნული სამსახური – საქსტატი,სსიპ – საქართველოს სტატისტიკის ეროვნული სამსახური – საქსტატი,false
47 01,program,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,true
47 02,program,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,true
47 03,program,მოსახლეობისა და საცხოვრისების საყოველთაო აღწერა,მოსახლეობისა და საცხოვრისების საყოველთაო აღწერა,მოსახლეობისა და საცხოვრისების საყოველთაო აღწერა,მოსახლეობისა და საცხოვრისების საყოველთაო აღწერა,მოსახლეობისა და საცხოვრისების საყოველთაო აღწერა,true
47 04,program,შინამეურნეობების ინტეგრირებული კვლევის პროგრამა,შინამეურნეობების ინტეგრირებული კვლევის პროგრამა,,,,true
47 05,program,სასოფლო მეურნეობების შერჩევითი კვლევის პროგრამა,სასოფლო მეურნეობების შერჩევითი კვლევის პროგრამა,,,,true
48 00,spending agency,ა ა იპ – საზოგადოებრივი ჯანდაცვის ცენტრალური რეფერალური ლაბორატორია,ა ა იპ - რიჩარდ გ ლუგარის საზოგადოებრივი ჯანმრთელობის კვლევითი ცენტრი,სსიპ - საქართველოს დაზღვევის სახელმწიფო ზედამხედველობის სამსახური,სსიპ - საქართველოს დაზღვევის სახელმწიფო ზედამხედველობის სამსახური,სსიპ - საქართველოს დაზღვევის სახელმწიფო ზედამხედველობის სამსახური,false
49 00,spending agency,საერთო სახელმწიფოებრივი მნიშვნელობის გადასახდელები,სსიპ საქართველოს ეროვნული საინვესტიციო სააგენტო,სსიპ - საქართველოს ეროვნული საინვესტიციო სააგენტო,სსიპ - საქართველოს ეროვნული საინვესტიციო სააგენტო,სსიპ - საქართველოს ეროვნული საინვესტიციო სააგენტო,false
49 01,program,საგარეო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,საინვესტიციო პოლიტიკის დაგეგმვა და მართვა,საინვესტიციო პოლიტიკის დაგეგმვა და მართვა,საინვესტიციო პოლიტიკის დაგეგმვა და მართვა,,false
49 02,program,საშინაო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,ინვესტიციების მოზიდვის ხელშეწყობა,ინვესტიციების მოზიდვის ხელშეწყობა,ინვესტიციების მოზიდვის ხელშეწყობა,,false
49 03,program,საერთაშორისო ორგანიზაციებში საქართველოს მონაწილეობიდან გამომდინარე არსებული ვალდებულებები,,,,,true
49 04,program,ავტონომიური რესპუბლიკებისა და ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,,,,,true
49 04 01,sub-program,ავტონომიური რესპუბლიკებისათვის გადასაცემი ტრანსფერები,,,,,true
49 04 01 01,sub-sub-program,აფხაზეთის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,,,,,true
49 04 01 02,sub-sub-program,აჭარის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,,,,,true
49 04 02,sub-program,ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,,,,,true
49 05,program,საქართველოს პრეზიდენტის სარეზერვო ფონდი,,,,,true
49 06,program,საქართველოს მთავრობის სარეზერვო ფონდი,,,,,true
49 07,program,წინა წლებში წარმოქმნილი დავალიანების დაფარვისა და სასამართლო გადაწყვეტილებების აღსრულების ფონდი,,,,,true
49 08,program,საქართველოს რეგიონებში განსახორციელებელი პროექტების ფონდი,,,,,true
49 09,program,სოფლის მხარდაჭერის პროგრამა,,,,,true
49 10,program,საქართველოს სახელმწიფო ჯილდოებისათვის დაწესებული ერთდროული ფულადი პრემიების გაცემის ფინანსური უზრუნველყოფა,,,,,true
49 12,program,სახელმწიფო მმართველობის ორგანოების ეფექტიანად ფუნქციონირების ხელშეწყობა,,,,,true
49 13,program,სტიქიის შედეგების ლიკვიდაცია,,,,,true
49 13 01,sub-program,ორმხრივი რეგიონალური და რეგიონთაშორისი პროექტები (GIZ),,,,,true
49 13 02,sub-program,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება (KfW),,,,,true
49 13 03,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (I ფაზა (KfW),,,,,true
49 13 04,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (II ფაზა (KfW),,,,,true
49 13 05,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (III ფაზა (KfW),,,,,true
49 13 06,sub-program,ხელვაჩაურის მუნიციპალიტეტის კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (KfW),,,,,true
49 13 07,sub-program,აჭარის მყარი ნარჩენების პროექტი (EBRD),,,,,true
49 13 08,sub-program,ათასწლეულის გამოწვევა საქართველოს (MCC),,,,,true
49 13 09,sub-program,რუსთავის მყარი ნარჩენების პროექტი (EBRD),,,,,true
49 14,program,დონორების მიერ დაფინანსებული საერთო სახელმწიფოებრივი გადასახდელები,,,,,true
49 14 01,sub-program,ორმხრივი რეგიონალური და რეგიონთაშორისი პროექტები (GIZ),,,,,true
49 14 02,sub-program,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება (KfW),,,,,true
49 14 03,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (I ფაზა (KfW),,,,,true
49 14 04,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (II ფაზა (KfW),,,,,true
49 14 05,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (III ფაზა (KfW),,,,,true
49 14 06,sub-program,ხელვაჩაურის მუნიციპალიტეტის კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (KfW),,,,,true
49 14 08,sub-program,ათასწლეულის გამოწვევა საქართველოს (MCC),,,,,true
49 14 09,sub-program,რუსთავის მყარი ნარჩენების პროექტი (EBRD),,,,,true
49 14 12,sub-program,ათასწლეულის გამოწვევა საქართველოს მეორე პროექტი (MCC),,,,,true
49 14 13,sub-program,გოდერძის ხეობაში სათხილამურო საბაგიროების მოწყობა (UniCredit Bank Austria AG),,,,,true
50 00,spending agency,დასაქმების საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,სსიპ საჯარო სამსახურის ბიურო,სსიპ - საჯარო სამსახურის ბიურო,სსიპ - საჯარო სამსახურის ბიურო,სსიპ - საჯარო სამსახურის ბიურო,false
51 00,spending agency,სსიპ საქართველოს ეროვნული საინვესტიციო სააგენტო,საერთო სახელმწიფოებრივი მნიშვნელობის გადასახდელები,პერსონალურ მონაცემთა დაცვის ინსპექტორის აპარატი,პერსონალურ მონაცემთა დაცვის ინსპექტორის აპარატი,პერსონალურ მონაცემთა დაცვის ინსპექტორის აპარატი,false
